#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-07-30T17:30:31 [V7.5.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-07-30T17:30:31	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J%2fMNRAS%2f479%2f5491%2ftable1&-out=Name%2cSp%2cMass%2cRad%2cTeff&-out.max=2000	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_74795491
#Name: J/MNRAS/479/5491
#Title: Absolute parameters of 509 main-sequence stars (Eker+, 2018)
#INFO	ivoid=ivo://cds.vizier/j/mnras/479/5491	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/mnras/479/5491	    IVOID of underlying data collection
#INFO	creator=Eker Z.	    First author or institution
#INFO	cites=bibcode:2018MNRAS.479.5491E	    Article or Data origin sources
#INFO	journal=MNRA	    Journal name
#INFO	original_date=2018	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/MNRAS/479/5491	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.74795491	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-08-18	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_MNRAS_479_5491_table1:
#Name: J/MNRAS/479/5491/table1
#Title: The basic stellar parameters and relative errors of the stars selected for the calibration sample
#Column	Name	(a24)	Star name	[ucd=meta.id]
#Column	Sp	(a12)	Spectral type	[ucd=src.spType]
#Column	Mass	(F7.4)	Stellar Mass	[ucd=phys.mass]
#Column	Rad	(F7.4)	Stellar radius R/R_{sun}_	[ucd=phys.size.radius]
#Column	Teff	(I5)	Published effective temperature	[ucd=meta.ref;phys.temperature.effective]
Name	Sp	Mass	Rad	Teff
 NSVS 06507557          	K9          	 0.6560	 0.6030	 3960
 NSVS 06507557          	M3          	 0.2790	 0.4450	 3365
 V615 Per               	B7V         	 4.0750	 2.2920	15000
 V615 Per               	B7V         	 3.1780	 1.9040	11000
 V618 Per               	A2V         	 2.3320	 1.6360	11000
 V618 Per               	            	 1.5580	 1.3180	 8000
 V505 Per               	F5V         	 1.2720	 1.2880	 6512
 V505 Per               	F5V         	 1.2540	 1.2670	 6462
 DN Cas                 	B0V         	19.0400	 7.2200	32100
 DN Cas                 	B1V         	13.7300	 5.7900	28020
 AG Ari                 	A0V         	 2.1640	 2.2320	10300
 AG Ari                 	A0V         	 2.1480	 2.0740	 9800
 XY Cet                 	A5V         	 1.7730	 1.8760	 7870
 XY Cet                 	A7V         	 1.6150	 1.7760	 7620
 V881 Per               	K0IV        	 0.9120	 0.9750	 5200
 V881 Per               	K0IV        	 0.7480	 0.7080	 4330
 CW Eri                 	F1V         	 1.5830	 2.0930	 6840
 CW Eri                 	F4V         	 1.3270	 1.5690	 6561
 V799 Cas               	B8V         	 3.0810	 3.2310	11550
 V799 Cas               	B8.5V       	 2.9700	 3.2010	11210
 AE For                 	K7Ve        	 0.6314	 0.6700	 4100
 AE For                 	K7Ve        	 0.6197	 0.6300	 4055
 V570 Per               	F3V         	 1.4250	 1.4940	 6842
 V570 Per               	F5V         	 1.3280	 1.3540	 6580
 IM Per                 	A7          	 1.7831	 2.4090	 7580
 IM Per                 	A7          	 1.7741	 2.3660	 7570
 TV Cet                 	F2V         	 1.3850	 1.4840	 6902
 TV Cet                 	F5V         	 1.2650	 1.2210	 6575
 TZ For                 	F7 III      	 1.9450	 3.9740	 6350
 TZ For                 	G8III       	 2.0450	 8.3490	 5000
 SDSS-MEB-1             	M4V         	 0.2720	 0.2680	 3320
 SDSS-MEB-1             	M4V         	 0.2400	 0.2480	 3300
 MG1-78457              	M3V         	 0.5270	 0.5050	 3330
 MG1-78457              	M4V         	 0.4910	 0.4710	 3270
 GJ 3236                	M4V         	 0.3750	 0.3830	 3310
 GJ 3236                	M4V         	 0.2800	 0.2830	 3241
 EY Cep                 	F0          	 1.5240	 1.4630	 7090
 EY Cep                 	F0          	 1.5000	 1.4680	 6970
 V612 Tau               	M3          	 0.3019	 0.3410	 3230
 V612 Tau               	M3          	 0.2767	 0.3190	 3090
 EPIC 211075914         	M4.5        	 0.4100	 0.4600	 2970
 EPIC 211075914         	M4.5        	 0.1720	 0.3210	 3000
 V1229 Tau              	A0V         	 2.2030	 1.7270	 9950
 V1229 Tau              	Am          	 1.5488	 1.5030	 7281
 V1130 Tau              	F0          	 1.3060	 1.4900	 6650
 V1130 Tau              	F0          	 1.3920	 1.7840	 6625
 IQ Per                 	B7.5V       	 3.5130	 2.4650	12300
 IQ Per                 	A6V         	 1.7330	 1.5090	 7670
 CF Tau                 	G0          	 1.2820	 2.7970	 5200
 CF Tau                 	G0          	 1.2520	 2.0480	 6000
 AG Per                 	B4V         	 4.4980	 3.0090	18200
 AG Per                 	B4V         	 4.0980	 2.6160	17400
 SZ Cam                 	O9IV        	16.5900	 9.3600	30408
 SZ Cam                 	B0.5V       	11.9500	 6.0000	27319
 V1094 Tau              	G0          	 1.0965	 1.4109	 5850
 V1094 Tau              	G0          	 1.0121	 1.1063	 5700
 NP Per                 	F5V         	 1.3207	 1.3720	 6420
 NP Per                 	K5eV        	 1.0456	 1.2290	 4540
 V482 Per               	F2          	 1.5100	 2.3900	 6700
 V482 Per               	F45         	 1.2900	 1.4500	 6340
 V818 Tau               	G6V         	 1.0470	 0.8980	 5470
 V818 Tau               	K6V         	 0.7580	 0.7670	 3977
 WW Cam                 	A4Vm        	 1.9200	 1.9130	 8360
 WW Cam                 	A4Vm        	 1.8730	 1.8100	 8240
 2MASS J04463285+1901432	M2.5V       	 0.4670	 0.5600	 3320
 2MASS J04463285+1901432	M           	 0.1920	 0.2100	 2900
 MG1-116309             	K8V         	 0.5670	 0.5520	 3920
 MG1-116309             	M0V         	 0.5320	 0.5320	 3810
 TYC 4749-560-1         	K2          	 0.8340	 0.8480	 5340
 TYC 4749-560-1         	K4          	 0.8280	 0.8330	 5125
 HP Aur                 	G2V         	 0.9543	 1.0278	 5810
 HP Aur                 	K1V         	 0.8094	 0.7758	 5160
 V1236 Tau              	K7V         	 0.7880	 0.7660	 4200
 V1236 Tau              	K7V         	 0.7710	 0.8030	 4133
 CD Tau                 	F6V         	 1.4410	 1.7980	 6200
 CD Tau                 	F6V         	 1.3660	 1.5840	 6200
 AR Aur                 	B9V         	 2.5435	 1.8237	10950
 AR Aur                 	B9.6V       	 2.3567	 1.8108	10350
 EW Ori                 	G0V         	 1.1730	 1.1690	 6070
 EW Ori                 	G5V         	 1.1230	 1.0980	 5900
 2MASS J05282082+0338327	K1V         	 1.3660	 1.8350	 5103
 2MASS J05282082+0338327	K3V         	 1.3270	 1.7350	 4751
 AS Cam                 	B8V         	 3.3120	 2.6170	12000
 AS Cam                 	B9.5V       	 2.5080	 1.9930	10700
 UX Men                 	F8V         	 1.2350	 1.3490	 6200
 UX Men                 	F8V         	 1.1960	 1.2750	 6150
 TZ Men                 	B9.5V       	 2.4820	 2.0170	10400
 TZ Men                 	A           	 1.5000	 1.4330	 7200
 V1174 Ori              	K4.5V       	 1.0100	 1.3470	 4470
 V1174 Ori              	M1.5V       	 0.7310	 1.0710	 3615
 V432 Aur               	F7V         	 1.0800	 2.4640	 6080
 V432 Aur               	F8V         	 1.2240	 1.2320	 6685
 GG Ori                 	A2V         	 2.3420	 1.8520	 9950
 GG Ori                 	A2V         	 2.3370	 1.8300	 9950
 HATS551-027            	M4/5.5V     	 0.2440	 0.2610	 3190
 HATS551-027            	M4/5.5V     	 0.1790	 0.2180	 2990
 V1031 Ori              	A6V         	 2.2810	 4.3490	 7850
 V1031 Ori              	A3V         	 2.4670	 3.0060	 8400
 beta Aur               	A1Vm        	 2.3690	 2.7620	 9350
 beta Aur               	A1Vm        	 2.2950	 2.5680	 9200
 V1388 Ori              	B2.5IV-V    	 7.4210	 5.6040	20500
 V1388 Ori              	B3V         	 5.1560	 3.7630	18500
 FT Ori                 	A0          	 2.1680	 1.8710	 9600
 FT Ori                 	A2          	 1.7730	 1.6260	 8600
 V404 CMa               	K           	 0.7500	 0.7210	 4200
 V404 CMa               	M           	 0.6590	 0.6820	 3940
 IM Mon                 	B4V         	 5.5060	 3.1510	17500
 IM Mon                 	B6.5V       	 3.3380	 2.3610	14500
 RR Lyn                 	A6IV        	 1.9310	 2.5570	 7570
 RR Lyn                 	F0V         	 1.5170	 1.5820	 6980
 KL CMa                 	B8V         	 3.5500	 2.3700	13200
 KL CMa                 	B9V         	 2.9500	 1.7000	12250
 V578 Mon               	B1V         	14.5400	 5.4100	30000
 V578 Mon               	B           	10.2900	 4.2900	25750
 WW Aur                 	A4m         	 1.9640	 1.9280	 7960
 WW Aur                 	A5m         	 1.8140	 1.8420	 7670
 V501 Mon               	A6m         	 1.6455	 1.8880	 7510
 V501 Mon               	F0          	 1.4588	 1.5920	 7000
 SV Cam                 	F5V         	 1.5750	 1.4700	 6038
 SV Cam                 	K4V         	 0.9340	 1.0010	 4804
 GX Gem                 	F7V         	 1.4880	 2.3340	 6194
 GX Gem                 	F7V         	 1.4670	 2.2440	 6166
 CoRoT 102932176        	F0V         	 1.5800	 1.6300	 7300
 CoRoT 102932176        	K4V         	 0.6400	 0.7300	 4547
 HS Aur                 	G8V         	 0.8980	 1.0050	 5350
 HS Aur                 	K0V         	 0.8770	 0.8740	 5200
 HI Mon                 	B0V         	11.4260	 4.7750	30000
 HI Mon                 	B0.5V       	 9.8640	 4.6450	29000
 LT CMa                 	B4V         	 5.5910	 3.6000	17000
 LT CMa                 	B6.5V       	 3.3640	 2.0460	13140
 SW CMa                 	A4          	 2.2400	 3.0150	 8200
 SW CMa                 	A5          	 2.1050	 2.4960	 8100
 HW CMa                 	A6          	 1.7190	 1.6490	 7560
 HW CMa                 	A6          	 1.7790	 1.6680	 7700
 GZ CMa                 	A3Vm        	 2.2010	 2.4900	 8810
 GZ CMa                 	A4 V        	 2.0010	 2.1300	 8531
 FS Mon                 	F2V         	 1.6320	 2.0610	 6715
 FS Mon                 	F4V         	 1.4620	 1.6370	 6550
 YY Gem                 	M1Ve        	 0.5980	 0.6210	 3820
 YY Gem                 	M1Ve        	 0.6010	 0.6050	 3820
 MG1-506664             	M1V         	 0.5840	 0.5590	 3730
 MG1-506664             	M2V         	 0.5440	 0.5120	 3610
 PV Pup                 	A0V         	 1.5390	 1.5360	 6920
 PV Pup                 	A2V         	 1.5270	 1.4930	 6930
 MW Pup                 	A3V         	 2.2000	 1.8400	 8502
 MW Pup                 	A3V         	 1.8800	 1.7200	 8026
 V392 Car               	A2V         	 1.9000	 1.6240	 8850
 V392 Car               	A2V         	 1.8530	 1.6000	 8650
 CN Lyn                 	F3V         	 1.0380	 1.7990	 6500
 CN Lyn                 	F4V         	 1.0380	 1.8390	 6455
 AI Hya                 	F0IV        	 1.9740	 2.7640	 7100
 AI Hya                 	F2III-IV    	 2.1400	 3.9120	 6700
 NSVS 07394765          	M2V         	 0.3600	 0.4630	 3300
 NSVS 07394765          	M4V         	 0.1800	 0.4960	 3106
 ASAS-08                	K           	 0.7030	 0.6940	 4350
 ASAS-08                	K           	 0.6870	 0.6990	 4090
 AY Cam                 	A8V         	 1.9470	 2.7840	 7250
 AY Cam                 	F0V         	 1.7070	 2.0340	 7395
 VV Pyx                 	A1V         	 2.0970	 2.1690	 9500
 VV Pyx                 	A1V         	 2.0940	 2.1690	 9500
 HD 71636               	F2V         	 1.5300	 1.5760	 6950
 HD 71636               	F5V         	 1.2990	 1.3650	 6440
 CU Cnc                 	M3.5Ve      	 0.4270	 0.4330	 3160
 CU Cnc                 	M3.5Ve      	 0.3940	 0.3920	 3125
 VZ Hya                 	F5V         	 1.2710	 1.3150	 6645
 VZ Hya                 	F7V         	 1.1460	 1.1130	 6290
 TZ Pyx                 	A8/9V       	 2.0750	 2.3560	 7468
 TZ Pyx                 	A8/9V       	 2.0030	 2.0260	 7521
 RS Cha                 	A8V         	 1.8230	 2.1500	 7638
 RS Cha                 	A8V         	 1.7640	 2.3600	 7228
 V467 Vel               	O6.5V(f)    	25.3000	 9.9900	36200
 V467 Vel               	            	 8.2500	 3.4900	25260
 NSVS 02502726          	K3V         	 0.6890	 0.7070	 4295
 NSVS 02502726          	M2V         	 0.3410	 0.6570	 3812
 del Vel                	A1V         	 3.1910	 3.2090	 9450
 del Vel                	A1V         	 2.9870	 2.7230	 9830
 CV Vel                 	B2.5V       	 6.0670	 4.0800	18000
 CV Vel                 	B2.5V       	 5.9520	 3.9400	17780
 XY UMa                 	G9V         	 1.0970	 1.1610	 5200
 XY UMa                 	K7V         	 0.6650	 0.6300	 4125
 PT Vel                 	A1V         	 2.1990	 2.0950	 9247
 PT Vel                 	A6V         	 1.6260	 1.5600	 7638
 KW Hya                 	A5Vm        	 1.9730	 2.1290	 8000
 KW Hya                 	F0-1V       	 1.4850	 1.4860	 6900
 ASAS-09                	K           	 0.7580	 0.7690	 4360
 ASAS-09                	K           	 0.7610	 0.7660	 4360
 QX Car                 	B3V         	 9.2460	 4.2930	23800
 QX Car                 	B3V         	 8.4600	 4.0530	22600
 TYC 4896-1029-1        	            	 1.2900	 1.3500	 6440
 TYC 4896-1029-1        	            	 1.3300	 1.3600	 6160
 HS Hya                 	F4V         	 1.2550	 1.2780	 6500
 HS Hya                 	F4V         	 1.2190	 1.2200	 6400
 ZZ UMa                 	F8V         	 1.1790	 1.5180	 5903
 ZZ UMa                 	G6V         	 0.9600	 1.1580	 5097
 MG1-646680             	M1V         	 0.4990	 0.4570	 3720
 MG1-646680             	M2V         	 0.4440	 0.4270	 3630
 UV Leo                 	G0V         	 1.1260	 0.9580	 6129
 UV Leo                 	G2V         	 1.0800	 1.1970	 5741
 RZ Cha                 	F5V         	 1.5060	 2.2820	 6457
 RZ Cha                 	F5V         	 1.5140	 2.2820	 6457
 DW Car                 	B1V         	11.3410	 4.5610	27900
 DW Car                 	B1V         	10.6260	 4.2990	26500
 UW LMi                 	F8V         	 1.1560	 1.2690	 6500
 UW LMi                 	F8V         	 1.1360	 1.2480	 6500
 chi02 Hya              	B8          	 3.6050	 4.4840	11750
 chi02 Hya              	B9          	 2.6320	 2.2060	11100
 EM Car                 	O8V         	22.8330	 9.3560	34000
 EM Car                 	O8V         	21.3760	 8.3450	34000
 LSPM J1112+7626        	M4V         	 0.3950	 0.3810	 3061
 LSPM J1112+7626        	M           	 0.2740	 0.3000	 2952
 FM Leo                 	F9V         	 1.3180	 1.6490	 6316
 FM Leo                 	F9V         	 1.2870	 1.5120	 6190
 V346 Cen               	B0.5IV      	12.0000	 8.2480	27141
 V346 Cen               	B2V         	 8.4700	 4.1180	25376
 MW UMa                 	F6V         	 1.2570	 1.2580	 6514
 MW UMa                 	F9V         	 1.1240	 1.1380	 6112
 EP Cru                 	B5V         	 5.0200	 3.5900	15700
 EP Cru                 	B5V         	 4.8300	 3.4950	15400
 VV Crv                 	F5V         	 1.9780	 3.3750	 6500
 VV Crv                 	F5V         	 1.5130	 1.6500	 6638
 IM Vir                 	G7V         	 0.9810	 1.0620	 5570
 IM Vir                 	K7V         	 0.6640	 0.6810	 4250
 HY Vir                 	F0m         	 1.8380	 2.8300	 7870
 HY Vir                 	F5V         	 1.4040	 1.5320	 6546
 eta Mus                	B8V         	 3.2830	 2.1400	12700
 eta Mus                	B8V         	 3.2820	 2.1300	12550
 SZ Cen                 	A7V         	 2.2720	 4.5550	 8000
 SZ Cen                 	A7V         	 2.3110	 3.6220	 8280
 V1200 Cen              	F5V         	 1.3940	 1.3900	 6266
 V1200 Cen              	            	 0.8660	 1.1000	 4650
 EPIC 212651213A        	            	 0.9400	 0.8600	 5475
 EPIC 212651213A        	            	 0.8900	 0.8000	 5250
 ZZ Boo                 	F3V         	 1.6160	 2.1640	 6860
 ZZ Boo                 	F3V         	 1.5680	 2.1640	 6930
 BH Vir                 	F8V         	 1.1780	 1.2280	 6100
 BH Vir                 	G5V         	 1.0500	 1.1180	 5500
 DM Vir                 	F7V         	 1.4540	 1.7640	 6500
 DM Vir                 	F7V         	 1.4480	 1.7640	 6500
 V636 Cen               	G1V         	 1.0520	 1.0240	 5900
 V636 Cen               	K2V         	 0.8540	 0.8350	 5000
 Psi Cen                	B9          	 3.1140	 3.6340	10450
 Psi Cen                	A2          	 1.9090	 1.8110	 8800
 V1207 Cen              	            	 1.1320	 1.9200	 6340
 V1207 Cen              	            	 1.1340	 3.0030	 5000
 AD Boo                 	F6V         	 1.4140	 1.6140	 6575
 AD Boo                 	G0V         	 1.2090	 1.2180	 6145
 GG Lup                 	B7V         	 4.1600	 2.4200	13000
 GG Lup                 	B9V         	 2.6400	 1.7900	10600
 GU Boo                 	M0          	 0.6090	 0.6280	 3920
 GU Boo                 	M1.5        	 0.5990	 0.6250	 3810
 AQ Ser                 	F5          	 1.3460	 2.2810	 6430
 AQ Ser                 	F6          	 1.4170	 2.4510	 6340
 CV Boo                 	G3V         	 1.0450	 1.2690	 5760
 CV Boo                 	G4V         	 0.9950	 1.1800	 5670
 alpha CrB              	A0V         	 2.5810	 3.0590	 9700
 alpha CrB              	G5V         	 0.9220	 0.9060	 5800
 RT CrB                 	G5IV        	 1.3440	 4.2560	 5134
 RT CrB                 	K0IV        	 1.3590	 3.7780	 5781
 V335 Ser               	A1V         	 2.0290	 2.0390	 9506
 V335 Ser               	A3V         	 1.8440	 1.6070	 8872
 EPIC 205030103         	M4          	 0.3336	 0.8620	 3200
 EPIC 205030103         	M4          	 0.3200	 0.8520	 3200
 TV Nor                 	A2-5V       	 2.0480	 1.8510	 9120
 TV Nor                 	A8-F0III    	 1.6610	 1.5600	 7798
 EPIC 203710387         	M4.5-M5     	 0.1183	 0.4170	 2980
 EPIC 203710387         	M4.5-M5     	 0.1076	 0.4500	 2840
 EPIC 203868608         	M5V         	 0.0224	 0.2820	 2830
 EPIC 203868608         	M5V         	 0.0246	 0.2550	 2980
 V65-M4                 	F           	 0.8035	 1.1470	 6088
 V65-M4                 	K           	 0.6050	 0.6110	 4812
 V66-M4                 	F           	 0.7842	 0.9347	 6162
 V66-M4                 	G           	 0.7443	 0.8298	 5938
 V69-M4                 	F           	 0.7665	 0.8655	 6084
 V69-M4                 	G           	 0.7278	 0.8074	 5915
 V760 Sco               	B4V         	 4.9690	 3.0280	16900
 V760 Sco               	B4V         	 4.6100	 2.6560	16300
 CM Dra                 	M4.5V       	 0.2310	 0.2530	 3130
 CM Dra                 	M54.5V      	 0.2140	 0.2390	 3120
 V349 Ara               	A2          	 2.5900	 3.6000	 9074
 V349 Ara               	A5          	 2.5100	 4.1500	 8180
 2MASS J16502074+4639013	M3Ve        	 0.4900	 0.9070	 3500
 2MASS J16502074+4639013	M3Ve        	 0.4860	 0.9050	 3395
 V1292 Sco              	O9.5III     	18.6000	11.2000	31900
 V1292 Sco              	B1-2V-III   	 7.3000	 5.2000	21800
 V1034 Sco              	O9V         	17.9770	 7.4410	34000
 V1034 Sco              	B1-1.5V     	 9.9700	 5.3830	26260
 V2626 Oph              	A7V         	 1.7580	 3.2390	 7760
 V2626 Oph              	F2V         	 1.2760	 1.2890	 7205
 WZ Oph                 	F8V         	 1.2270	 1.4010	 6165
 WZ Oph                 	F8V         	 1.2200	 1.4190	 6115
 V2365 Oph              	A           	 1.9640	 2.1910	 9500
 V2365 Oph              	G           	 1.0550	 0.9340	 6400
 V2368 Oph              	A2          	 2.4170	 3.8570	 9300
 V2368 Oph              	A2          	 2.5250	 3.7400	 9500
 U Oph                  	B5V         	 4.8310	 3.2440	16900
 U Oph                  	B5V         	 4.2900	 2.9680	16000
 TX Her                 	A5V         	 1.6070	 1.6880	 7534
 TX Her                 	F0V         	 1.4410	 1.4280	 6678
 NGC 6362 SAW V41       	            	 0.8215	 1.0739	 6124
 NGC 6362 SAW V41       	            	 0.7280	 0.7307	 5747
 NGC 6362 SAW V40       	            	 0.8337	 1.3253	 6156
 NGC 6362 SAW V40       	            	 0.7947	 0.9970	 6100
 LV Her                 	F9V         	 1.1920	 1.3580	 6060
 LV Her                 	F9V         	 1.1690	 1.3130	 6030
 V501 Her               	G3          	 1.2689	 2.0016	 5683
 V501 Her               	G3          	 1.2113	 1.5112	 5720
 V624 Her               	A3Vm        	 2.2770	 3.0280	 8150
 V624 Her               	A7V         	 1.8760	 2.2080	 7945
 BD-00 3357             	F0V         	 1.7240	 1.7800	 7250
 BD-00 3357             	F6.6V       	 1.3390	 1.3200	 6425
 V539 Ara               	B3V         	 6.2650	 4.4360	18200
 V539 Ara               	B4V         	 5.3260	 3.7350	16982
 V2653 Oph              	F2V         	 1.5370	 2.2150	 6950
 V2653 Oph              	F7V         	 1.2730	 2.0000	 6350
 V906 Sco               	B9V         	 3.3700	 4.5250	10400
 V906 Sco               	B9V         	 3.2460	 3.5180	10700
 Z Her                  	F5V         	 1.6110	 1.8590	 6397
 Z Her                  	K0IV        	 1.3120	 2.7430	 4977
 V1647 Sgr              	A1V         	 2.1840	 1.9080	 9600
 V1647 Sgr              	A2V         	 1.9670	 1.7410	 9100
 V3903 Sgr              	O7V         	27.2040	 8.1200	38000
 V3903 Sgr              	O9V         	18.9640	 6.1490	34100
 2MASS J18251003        	            	 3.3530	23.4400	 4830
 2MASS J18251003        	            	 3.3770	15.2600	 4800
 V1980 Sgr              	K5          	 1.2270	12.9700	 4783
 V1980 Sgr              	K5          	 1.2690	12.7400	 4600
 EG Ser                 	A1V         	 2.2000	 1.6890	 9900
 EG Ser                 	A1V         	 1.9900	 1.5490	 9100
 TYC 1031 1262 1        	F8II        	 1.6400	26.9000	 5880
 TYC 1031 1262 1        	G6II        	 0.9340	15.0000	 4890
 V994 Her-B             	A2V         	 1.8680	 1.5830	 9000
 V994 Her-A             	B8V         	 2.8280	 2.1230	12000
 V994 Her-B             	A4V         	 1.8590	 1.4930	 8450
 V994 Her-A             	A0V         	 2.2990	 1.6880	 9450
 V451 Oph               	B9          	 2.7690	 2.6460	10800
 V451 Oph               	A0V         	 2.3510	 2.0320	 9800
 RX Her                 	B9.5V       	 2.7480	 2.4580	11100
 RX Her                 	A0V         	 2.3260	 1.9980	10016
 V413 Ser               	B8V         	 3.6540	 3.2000	11100
 V413 Ser               	B9V         	 3.3180	 2.9210	10350
 HD 172189              	A5V         	 2.0600	 4.0170	 7920
 HD 172189              	A6.5V       	 1.8690	 2.9690	 7608
 QY Tel                 	F6V         	 1.3200	 1.7400	 6550
 QY Tel                 	F6V         	 1.4400	 2.7000	 6294
 V4403 Sgr              	F6          	 1.3300	 1.7400	 6517
 V4403 Sgr              	F7          	 1.5900	 2.5000	 6316
 CoRoT 105906206        	F3          	 2.2500	 4.2400	 6750
 CoRoT 105906206        	            	 1.2900	 1.3400	 6152
 V1331 Aql              	B1V         	10.0790	 4.2530	25400
 V1331 Aql              	B1.5V       	 5.2820	 4.0430	20100
 YY Sgr                 	B5V         	 3.8970	 2.5760	14800
 YY Sgr                 	B6V         	 3.4820	 2.3440	14125
 ASASJ184949-1518.7     	            	 1.9100	 3.0000	 6630
 ASASJ184949-1518.7     	            	 2.1900	 9.0000	 4560
 BF Dra                 	F6V         	 1.4130	 2.9990	 6360
 BF Dra                 	F6V         	 1.3740	 2.7630	 6400
